Symbol,Exchange,Company_Name,PE_Ratio,ROE,Debt_To_Equity,Revenue_Growth_YoY,Profit_Growth_YoY,Operating_Cashflow,Promoter_Holding,FII_DII_Pct,Public_Pct,Latest_Close,EMA_50,EMA_200,RSI_14,Trend
ICICIBANK.NS,NSE,ICICIBANK.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹2,124,299,927",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
NBCC.NS,NSE,NBCC.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹146,730,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
IOC.NS,NSE,IOC.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹210,360,008",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
IRFC.NS,NSE,IRFC.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹133,305,004",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
BHEL.NS,NSE,BHEL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹626,925,018",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
MMTC.NS,NSE,MMTC.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹96,825,005",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
HSCL.NS,NSE,HSCL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹1,022,324,982",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
INFY.NS,NSE,INFY.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹1,614,450,073",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
FCL.NS,NSE,FCL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹58,409,998",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
ITC.NS,NSE,ITC.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹414,974,991",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
NTPC.NS,NSE,NTPC.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹516,525,009",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
SBC.NS,NSE,SBC.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹63,240,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
INOXWIND.NS,NSE,INOXWIND.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹119,970,005",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
JIOFIN.NS,NSE,JIOFIN.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹354,884,995",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
SAKSOFT.NS,NSE,SAKSOFT.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹269,940,010",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
TMPV.NS,NSE,TMPV.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹499,500,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
RTNPOWER.NS,NSE,RTNPOWER.NS,8.84,16.40%,0.38,12.80%,14.50%,"₹13,260,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
NIACL.NS,NSE,NIACL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹270,075,005",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
SBIN.NS,NSE,SBIN.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹1,545,149,963",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
BEL.NS,NSE,BEL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹616,425,018",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
IRB.NS,NSE,IRB.NS,20.09,16.40%,0.38,12.80%,14.50%,"₹30,135,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
NATIONALUM.NS,NSE,NATIONALUM.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹542,250,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
UCOBANK.NS,NSE,UCOBANK.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹39,360,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
UTKARSHBNK.NS,NSE,UTKARSHBNK.NS,14.97,16.40%,0.38,12.80%,14.50%,"₹22,455,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
VMM.NS,NSE,VMM.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹170,910,004",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
PATELENG.NS,NSE,PATELENG.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹46,485,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
NETWORK18.NS,NSE,NETWORK18.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹47,640,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
AEQUS.NS,NSE,AEQUS.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹361,634,995",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
BANKINDIA.NS,NSE,BANKINDIA.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹217,815,010",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
RBA.NS,NSE,RBA.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹105,285,004",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
BANDHANBNK.NS,NSE,BANDHANBNK.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹324,780,006",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
POWERGRID.NS,NSE,POWERGRID.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹421,050,018",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
TMCV.NS,NSE,TMCV.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹635,324,982",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
BCG.NS,NSE,BCG.NS,9.81,16.40%,0.38,12.80%,14.50%,"₹14,715,001",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
NYKAA.NS,NSE,NYKAA.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹493,650,009",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
EXICOM.NS,NSE,EXICOM.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹246,389,992",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
PPLPHARMA.NS,NSE,PPLPHARMA.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹257,490,005",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
BAJFINANCE.NS,NSE,BAJFINANCE.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹1,531,949,982",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
ATALREAL.NS,NSE,ATALREAL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹45,314,999",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
RITES.NS,NSE,RITES.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹334,799,995",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
SALASAR.NS,NSE,SALASAR.NS,6.05,16.40%,0.38,12.80%,14.50%,"₹9,075,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
ROTO.NS,NSE,ROTO.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹100,964,996",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
BPCL.NS,NSE,BPCL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹464,400,009",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
AHCL.NS,NSE,AHCL.NS,15.16,16.40%,0.38,12.80%,14.50%,"₹22,740,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
MRPL.NS,NSE,MRPL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹236,205,002",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
ZENSARTECH.NS,NSE,ZENSARTECH.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹769,649,963",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
SHAH.NS,NSE,SHAH.NS,4.63,16.40%,0.38,12.80%,14.50%,"₹6,945,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
IBULLSLTD.NS,NSE,IBULLSLTD.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹47,385,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
JYOTISTRUC.NS,NSE,JYOTISTRUC.NS,11.33,16.40%,0.38,12.80%,14.50%,"₹16,995,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
GAIL.NS,NSE,GAIL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹259,724,991",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
RHETAN.NS,NSE,RHETAN.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹45,224,999",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
FEDERALBNK.NS,NSE,FEDERALBNK.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹491,324,982",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
TEJASNET.NS,NSE,TEJASNET.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹825,149,963",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
LTF.NS,NSE,LTF.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹468,599,991",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
INDUSTOWER.NS,NSE,INDUSTOWER.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹610,349,991",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
COALINDIA.NS,NSE,COALINDIA.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹641,324,982",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
TRIDENT.NS,NSE,TRIDENT.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹37,980,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
BHARTIARTL.NS,NSE,BHARTIARTL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹2,877,450,073",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
BAJAJHIND.NS,NSE,BAJAJHIND.NS,17.18,16.40%,0.38,12.80%,14.50%,"₹25,770,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
RENUKA.NS,NSE,RENUKA.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹33,824,999",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
ANGELONE.NS,NSE,ANGELONE.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹515,099,991",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
RAMASTEEL.NS,NSE,RAMASTEEL.NS,4.46,16.40%,0.38,12.80%,14.50%,"₹6,690,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
HINDALCO.NS,NSE,HINDALCO.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹1,433,699,982",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
AXISBANK.NS,NSE,AXISBANK.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹1,968,450,073",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
DIACABS.NS,NSE,DIACABS.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹339,735,008",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
RVNL.NS,NSE,RVNL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹340,455,002",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
HINDPETRO.NS,NSE,HINDPETRO.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹591,599,991",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
IOLCP.NS,NSE,IOLCP.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹248,549,995",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
TFCILTD.NS,NSE,TFCILTD.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹125,700,005",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
LENSKART.NS,NSE,LENSKART.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹816,524,963",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
ALOKINDS.NS,NSE,ALOKINDS.NS,12.54,16.40%,0.38,12.80%,14.50%,"₹18,810,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
NLCINDIA.NS,NSE,NLCINDIA.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹453,449,982",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
PFC.NS,NSE,PFC.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹608,474,991",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
RECLTD.NS,NSE,RECLTD.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹527,550,018",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
RBLBANK.NS,NSE,RBLBANK.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹559,199,982",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
HARDWYN.NS,NSE,HARDWYN.NS,15.57,16.40%,0.38,12.80%,14.50%,"₹23,355,000",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
SHAREINDIA.NS,NSE,SHAREINDIA.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹261,764,992",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
BELRISE.NS,NSE,BELRISE.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹352,514,992",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
SUMEETINDS.NS,NSE,SUMEETINDS.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹49,469,999",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
BAJAJHFL.NS,NSE,BAJAJHFL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹131,189,999",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
VBL.NS,NSE,VBL.NS,22.50,16.40%,0.38,12.80%,14.50%,"₹696,300,018",52.39%,18.45%,29.16%,N/A,N/A,N/A,N/A,Consolidating
